State,Datetime,Total Demand,RRP,Precipitation (mm),Air Temp (C),Humidity (%),Wind Speed (km/h)
QLD1,2000/01/01 00:30,3905.56833,39.4,0.0,22.0,75.0,13.0
QLD1,2000/01/01 01:00,3855.675,34.18,0.0,21.7,78.0,11.2
QLD1,2000/01/01 01:30,3814.44667,35.2,0.0,21.4,82.0,11.2
QLD1,2000/01/01 02:00,3705.365,25.53,0.0,21.5,83.0,9.4
QLD1,2000/01/01 02:30,3615.71333,18.55,0.0,21.3,82.0,11.2
QLD1,2000/01/01 03:00,3517.24333,18.55,0.0,21.1,82.0,13.0
QLD1,2000/01/01 03:30,3442.65333,17.5,0.0,20.8,83.0,11.2
QLD1,2000/01/01 04:00,3372.21,17.5,0.0,20.8,80.0,13.0
QLD1,2000/01/01 04:30,3331.55,17.5,0.0,20.7,77.0,14.8
QLD1,2000/01/01 05:00,3304.24167,17.5,0.0,20.7,77.0,9.4
QLD1,2000/01/01 05:30,3280.89333,17.5,0.0,20.8,77.0,9.4
QLD1,2000/01/01 06:00,3278.81167,17.5,0.0,21.2,75.0,13.0
QLD1,2000/01/01 06:30,3326.77,17.5,0.0,21.4,73.0,14.8
QLD1,2000/01/01 07:00,3396.86167,16.81,0.0,22.8,68.0,16.6
QLD1,2000/01/01 07:30,3513.71,15.0,0.0,23.6,64.0,16.6
QLD1,2000/01/01 08:00,3617.73,16.12,0.0,23.3,68.0,16.6
QLD1,2000/01/01 08:30,3801.56833,17.46,0.0,23.9,66.0,18.4
QLD1,2000/01/01 09:00,3917.005,17.5,0.0,24.2,62.0,14.8
QLD1,2000/01/01 09:30,3980.705,17.5,0.0,24.4,61.0,14.8
QLD1,2000/01/01 10:00,4065.84167,17.5,0.0,25.7,59.0,14.8
QLD1,2000/01/01 10:30,4117.4,17.5,0.0,25.8,58.0,16.6
QLD1,2000/01/01 11:00,4175.26833,19.07,0.0,25.7,58.0,14.8
QLD1,2000/01/01 11:30,4185.38833,18.56,0.0,25.2,60.0,16.6
QLD1,2000/01/01 12:00,4181.63,18.02,0.0,26.5,56.0,18.4
QLD1,2000/01/01 12:30,4184.18833,17.5,0.0,25.7,55.0,16.6
QLD1,2000/01/01 13:00,4165.23667,17.5,0.0,26.2,55.0,16.6
QLD1,2000/01/01 13:30,4120.125,17.5,0.0,26.3,56.0,18.4
QLD1,2000/01/01 14:00,4106.89,17.5,0.0,26.8,58.0,18.4
QLD1,2000/01/01 14:30,4087.325,17.5,0.0,26.3,58.0,20.5
QLD1,2000/01/01 15:00,4096.84167,17.5,0.0,25.0,62.0,20.5
QLD1,2000/01/01 15:30,4075.47167,17.5,0.0,25.1,60.0,20.5
QLD1,2000/01/01 16:00,4074.88167,17.5,0.0,24.7,62.0,18.4
QLD1,2000/01/01 16:30,4139.345,17.5,0.0,25.2,59.0,20.5
QLD1,2000/01/01 17:00,4218.28167,18.02,0.0,24.0,63.0,18.4
