State,SETTLEMENTDATE,TOTALDEMAND,RRP,Precipitation,AirTemp,Humidity,WindSpeed
SA1,2000-01-01 01:00:00,1375.14833,38.54,0.0,13.1,65.0,14.8
SA1,2000-01-01 01:30:00,1275.12667,14.37,0.0,13.2,65.0,9.4
SA1,2000-01-01 02:00:00,1181.72167,14.49,0.0,13.4,63.0,13.0
SA1,2000-01-01 02:30:00,1105.05,13.98,0.0,13.2,64.0,9.4
SA1,2000-01-01 03:00:00,1031.225,10.35,0.0,13.0,62.0,11.2
SA1,2000-01-01 03:30:00,966.82667,5.27,0.0,12.6,61.0,11.2
SA1,2000-01-01 04:00:00,928.11167,5.3,0.0,12.3,59.0,7.6
SA1,2000-01-01 04:30:00,902.10167,5.23,0.0,12.3,58.0,11.2
SA1,2000-01-01 05:00:00,886.85167,14.03,0.0,11.7,64.0,3.6
SA1,2000-01-01 05:30:00,869.195,5.93,0.0,11.8,60.0,9.4
SA1,2000-01-01 06:00:00,854.9,5.14,0.0,11.8,59.0,11.2
SA1,2000-01-01 06:30:00,853.035,5.2,0.0,11.8,58.0,11.2
SA1,2000-01-01 07:00:00,855.71667,10.82,0.0,12.1,60.0,3.6
SA1,2000-01-01 07:30:00,868.92167,11.51,0.0,13.3,53.0,13.0
SA1,2000-01-01 08:00:00,869.79,12.11,0.0,14.0,52.0,14.8
SA1,2000-01-01 08:30:00,888.36333,12.65,0.0,14.2,49.0,18.4
SA1,2000-01-01 09:30:00,940.39667,12.5,0.0,15.0,50.0,14.8
SA1,2000-01-01 10:00:00,953.92,14.09,0.0,14.8,48.0,20.5
SA1,2000-01-01 10:30:00,968.22,14.19,0.0,15.5,46.0,24.1
SA1,2000-01-01 11:00:00,974.18167,14.2,0.0,16.0,44.0,22.3
SA1,2000-01-01 11:30:00,983.41667,13.3,0.0,16.5,45.0,22.3
SA1,2000-01-01 12:00:00,990.845,13.24,0.0,17.0,45.0,24.1
SA1,2000-01-01 12:30:00,992.235,10.3,0.0,16.8,46.0,20.5
SA1,2000-01-01 13:00:00,995.83833,9.88,0.0,18.1,43.0,24.1
SA1,2000-01-01 13:30:00,1001.16667,11.42,0.0,16.8,49.0,22.3
SA1,2000-01-01 14:00:00,1010.42333,15.92,0.0,17.5,49.0,20.5
SA1,2000-01-01 14:30:00,1004.225,11.21,0.0,17.9,43.0,25.9
