State,Datetime,Total Demand,RRP,Precipitation (mm),Air Temp (C),Humidity (%),Wind Speed (km/h)
TAS1,2005/05/16 14:00,1277.46,833.33,0.0,12.1,68.0,9.4
TAS1,2005/05/16 14:30,1279.19667,4500.0,0.0,12.0,72.0,9.4
TAS1,2005/05/16 15:00,1282.525,4500.0,0.0,11.4,78.0,9.4
TAS1,2005/05/16 15:30,1281.69167,8166.67,0.0,11.7,76.0,5.4
TAS1,2005/05/16 16:00,1287.235,4500.0,0.0,11.1,81.0,5.4
TAS1,2005/05/16 16:30,1309.48333,10000.0,0.0,10.9,80.0,5.4
TAS1,2005/05/16 17:00,1359.37167,10000.0,0.0,10.1,83.0,9.4
TAS1,2005/05/16 17:30,1449.20667,10000.0,0.0,9.2,84.0,11.2
TAS1,2005/05/16 18:00,1509.73667,6667.33,0.0,9.0,84.0,11.2
TAS1,2005/05/16 18:30,1496.14167,2.0,0.0,8.7,84.0,14.8
TAS1,2005/05/16 19:00,1484.77667,2.0,0.0,8.8,85.0,11.2
TAS1,2005/05/16 19:30,1459.82833,1668.33,0.0,9.0,86.0,9.4
TAS1,2005/05/16 20:00,1443.79833,1668.33,0.0,9.3,86.0,13.0
TAS1,2005/05/16 20:30,1430.045,2.0,0.0,9.7,87.0,11.2
TAS1,2005/05/16 21:00,1402.70167,2.0,0.0,9.7,85.0,9.4
TAS1,2005/05/16 21:30,1377.84167,2.0,0.0,9.6,87.0,1.8
TAS1,2005/05/16 22:00,1346.745,2.0,0.0,9.0,89.0,5.4
TAS1,2005/05/16 22:30,1282.61833,-165.0,0.0,8.5,90.0,7.6
TAS1,2005/05/16 23:00,1224.555,-332.0,0.0,8.9,89.0,5.4
TAS1,2005/05/16 23:30,1166.34667,2.0,0.0,9.0,87.0,7.6
TAS1,2005/05/17 00:00,1116.64833,2.0,0.0,9.2,87.0,18.4
TAS1,2005/05/17 00:30,1084.29667,2.0,0.0,9.3,88.0,16.6
TAS1,2005/05/17 01:00,1057.91,4667.0,0.0,8.6,88.0,20.5
TAS1,2005/05/17 01:30,1046.46167,2.0,0.0,8.1,89.0,20.5
TAS1,2005/05/17 02:00,1034.21667,2.0,0.0,7.8,88.0,18.4
TAS1,2005/05/17 02:30,1032.8,3334.67,0.0,7.3,88.0,16.6
TAS1,2005/05/17 03:00,1043.56667,3334.67,0.0,6.9,90.0,11.2
TAS1,2005/05/17 03:30,1039.09167,5001.0,0.0,6.6,91.0,5.4
TAS1,2005/05/17 04:00,1046.23667,2.0,0.0,7.1,88.0,9.4
TAS1,2005/05/17 04:30,1062.76333,3334.67,0.0,7.4,89.0,9.4
TAS1,2005/05/17 05:00,1077.005,6667.33,0.0,7.5,88.0,11.2
TAS1,2005/05/17 05:30,1079.505,6667.33,0.0,7.6,87.0,13.0
TAS1,2005/05/17 06:00,1109.075,10000.0,0.0,7.4,85.0,13.0
TAS1,2005/05/17 06:30,1187.92833,10000.0,0.0,7.3,86.0,11.2
TAS1,2005/05/17 07:00,1292.03333,10000.0,0.0,7.6,85.0,16.6
TAS1,2005/05/17 07:30,1420.11,10000.0,0.0,7.7,83.0,20.5
TAS1,2005/05/17 08:00,1495.60333,10000.0,0.0,7.7,84.0,18.4
TAS1,2005/05/17 08:30,1510.815,5001.0,0.0,7.7,85.0,18.4
TAS1,2005/05/17 09:00,1496.47667,2.0,0.0,8.1,83.0,18.4
TAS1,2005/05/17 09:30,1459.425,2.0,0.0,9.8,76.0,18.4
TAS1,2005/05/17 10:00,1440.83833,1501.87,0.0,11.1,68.0,24.1
TAS1,2005/05/17 10:30,1389.42167,8.83,0.0,11.6,66.0,22.3
TAS1,2005/05/17 11:00,1345.775,9.57,0.0,12.1,63.0,20.5
TAS1,2005/05/17 11:30,1297.69833,9.55,0.0,12.6,63.0,18.4
TAS1,2005/05/17 12:00,1288.09833,9.55,0.0,13.4,59.0,18.4
TAS1,2005/05/17 12:30,1262.025,9.52,0.0,13.8,56.0,16.6
TAS1,2005/05/17 13:00,1236.89833,9.49,0.0,14.7,56.0,11.2
TAS1,2005/05/17 13:30,1215.94667,9.49,0.0,15.2,53.0,9.4
TAS1,2005/05/17 14:00,1212.39667,9.53,0.0,14.6,54.0,7.6
TAS1,2005/05/17 14:30,1233.845,9.54,0.0,14.2,55.0,11.2
TAS1,2005/05/17 15:00,1229.50667,1.07,0.0,13.6,59.0,9.4
TAS1,2005/05/17 15:30,1220.64833,1.07,0.0,13.4,61.0,5.4
TAS1,2005/05/17 16:00,1226.86833,1.07,0.0,13.2,66.0,3.6
TAS1,2005/05/17 16:30,1250.84667,1.06,0.0,12.6,66.0,5.4
TAS1,2005/05/17 17:00,1297.39333,1.06,0.0,11.3,73.0,11.2
TAS1,2005/05/17 17:30,1402.02,1.92,0.0,10.9,74.0,11.2
TAS1,2005/05/17 18:00,1459.96333,2.11,0.0,10.3,76.0,13.0
TAS1,2005/05/17 18:30,1463.39167,1.06,0.0,10.1,75.0,14.8
TAS1,2005/05/17 19:00,1447.42667,1.06,0.0,9.8,78.0,11.2
TAS1,2005/05/17 19:30,1434.99333,1.06,0.0,9.7,78.0,11.2
TAS1,2005/05/17 20:00,1421.19167,1.06,0.0,9.4,79.0,13.0
TAS1,2005/05/17 20:30,1418.12667,1.06,0.0,8.6,83.0,9.4
TAS1,2005/05/17 21:00,1407.57833,1.41,0.0,8.5,84.0,5.4
TAS1,2005/05/17 21:30,1375.04167,2.88,0.0,8.0,86.0,9.4
TAS1,2005/05/17 22:00,1349.28833,6.06,0.0,7.7,86.0,5.4
TAS1,2005/05/17 22:30,1275.19333,1.75,0.0,7.3,88.0,7.6
TAS1,2005/05/17 23:00,1215.15833,1.68,0.0,7.1,91.0,5.4
TAS1,2005/05/17 23:30,1152.20333,2.09,0.0,6.7,91.0,7.6
TAS1,2005/05/18 00:00,1114.10167,1.94,0.0,6.7,91.0,9.4
TAS1,2005/05/18 00:30,1090.13333,1.9,0.0,6.6,92.0,7.6
TAS1,2005/05/18 01:00,1073.60167,1.88,0.0,6.5,91.0,13.0
TAS1,2005/05/18 01:30,1061.91833,1.69,0.0,6.4,93.0,7.6
TAS1,2005/05/18 02:00,1063.15167,2.0,0.0,6.0,93.0,9.4
TAS1,2005/05/18 02:30,1052.695,1.07,0.0,6.2,93.0,14.8
TAS1,2005/05/18 03:00,1043.88833,1.06,0.0,5.8,92.0,11.2
TAS1,2005/05/18 03:30,1048.27167,1.06,0.0,5.8,93.0,9.4
TAS1,2005/05/18 04:00,1058.03333,1.06,0.0,6.3,91.0,14.8
TAS1,2005/05/18 04:30,1067.81167,59.67,0.0,5.6,93.0,7.6
TAS1,2005/05/18 05:00,1078.11333,60.0,0.0,5.4,93.0,11.2
TAS1,2005/05/18 05:30,1094.10667,60.0,0.0,5.4,94.0,11.2
TAS1,2005/05/18 06:00,1135.04833,80.0,0.0,5.3,94.0,13.0
TAS1,2005/05/18 06:30,1200.14,86.67,0.0,4.7,94.0,11.2
TAS1,2005/05/18 07:00,1300.75167,68.42,0.0,4.9,94.0,16.6
TAS1,2005/05/18 07:30,1432.92167,75.0,0.0,5.1,95.0,16.6
